Sr No,CATEGORY,NAME,LAT,LON,AREA,WARD
1,Garden,Maharashtra Housing Board No.2,18.5613,73.895327,Nagpur Chawl,Sangamwadi
2,Garden,Panchavati,18.532692,73.812921,"Sutarwadi ,
Abhinav kala mahavidhyalay pune ,
Pashan gaothan ,
Pashan talav ,
A r d e pune ,
Bharat electronies pune ,
H e m r l pune ,
Lenyadri society pune ,",Aundh
3,Garden,Ganpati Mandir,18.57683,73.89431,Dhanori Gavthan,Sangamwadi
4,Garden,"S.No. 37, Santosh Nagar",18.577593,73.885779,Kalyani Nagar,Nagar Road
5,Garden,Chittaranjan Vatika,18.532534,73.838615,"model coloney ,
Goverment politechnic ,
Chittaranjanvatika  ,
Vidyabhavan pune ,
Lakaki talav ,
Shaskiya durshikshan tantraniketan pune ,
Javahar colony pune ,
Jangali maharaj mandir ,
Simla office pune ,
Police pared ground pune ,
Shivajinagar police vasahat ,
Bhoslenagar pune ,
E square pune ,
Kakde mall pune ,
National informatic center pune ,",Ghole Road
6,Garden,Kantishalaka Aruna Asaf Ali Udyan,18.492939,73.863033,Mukund Nagar,Sahkar Nagar
7,Garden,Dr. Babasaheb Ambedkar,18.524864,73.871661,Central Building,Dhole Patil
8,Garden,Honble. Jyotiba Phule,18.55896,73.879148,Shanti Nagar,Sangamwadi
9,Garden,Late. Sanjay Mahadev Nimhan,18.546552,73.79855,"Aundh gaothan ,
Sangvi nagar ,
Police motar workshop ,
Aundh i t i ,
Sanewadi ,
SOMESHWAR WADI ,
Laman vasti ,
Sanjay gandhi nagar pune",Aundh
10,Garden,Samartha Ramdas,18.527255,73.83249,vadar wadi,Ghole Road
11,Garden,Chhatrapati Shivaji,18.569863,73.832778,"bopodi gaothan,
Chhatrapati shivaji maharaj udhyan bopodi,
Bopodi dranege tritment plant,
Kirloskar oil engines",Aundh
12,Garden,Chandan Nagar,18.562398,73.935186,Kharadi Gavthan,Nagar Road
13,Garden,Matoshri. Ramabai Bhimrao Ambedkar,18.532901,73.878247,Koregaon Park,Dhole Patil
14,Garden,"Chhatrapati Shivaji Maharaj, Sadashiv Peth",18.504527,73.853345,Sahitya Parishad,Kasba Vishrambaugwada
15,Garden,Morya,18.576937,73.892642,Dhanori Gavthan,Sangamwadi
16,Garden,Sh.Abdul Hamid Ayurvedic Udyan,18.473664,73.895746,Kondhwa Bk,Kondhwa-wanawdi
17,Garden,Viman Nagar,18.566227,73.916326,Vimannagar,Nagar Road
18,Garden,Koregaon Park,18.538348,73.897948,Koregaon Park,Dhole Patil
19,Garden,Mahatma Gandhi Udyan,18.542025,73.884782,Koregaon Park,Dhole Patil
20,Garden,Shri.Gajanan Maharaj,18.532046,73.821813,"Patrakar nagar ,
Gokhale nagar PUNE ,
Mendi farm pune ,
Chatursrungi mata mndir pune ,
Bahiratwadi ,
Shivaji houseing society ,
Janwadi ,
Maharashatra houseing bord coloney pune ,
Niljoti society pune ,
Mafco pune ,
Internachinal convention center pune ,",Ghole Road
21,Garden,Maharashtra Housing Board No.1,18.563375,73.895821,Nagpur Chawl,Sangamwadi
22,Garden,Hutatma Smarak,18.555787,73.876789,Shanti Nagar,Sangamwadi
23,Garden,Late. Marutrao Gaikwad,18.562744,73.810137,"Aundh gaothan ,
Sangvi nagar ,
Police motar workshop ,
Aundh i t i ,
Sanewadi ,
SOMESHWAR WADI ,
Laman vasti ,
Sanjay gandhi nagar pune",Aundh
24,Garden,Saras baugh,18.501628,73.852881,Peshve Park,Tillak Rasta
25,Garden,Kamalnayan Bajaj,18.546185,73.852111,"Kamal nayan bajaj udhyan ,
Shaskiya dudh yojna pune ,
Andi ubvani kendra pune ,
Patil estate slum pune ,
Shetki mahavidyalay pune ,
Narvir tanaji wadi depo pune ,
Modibaug vasahat pune ,
Sancheti hospital ,
Shivajinagar railway sthanak pune ,
Pune aakashwani kendra ,
Sangamwadicha bhag pune ,
",Ghole Road
26,Garden,Patwardhan Baug,18.500285,73.830032,Patwardhan Baug,Warje-karvenager
27,Garden,Pragati,18.450382,73.863227,Katraj Gavthan,Dhankwadi
28,Garden,Late. Smt.Gangubai Bhimale,18.48779,73.87481,LullaNagar,Bibwewadi
29,Garden,Dr. Jay Prakash Narayan,18.527092,73.87421,Central Building,Dhole Patil
30,Garden,Limca Jogging Track,18.541517,73.882701,Koregaon Park,Dhole Patil
31,Garden,Hazrat Siddiqui Shababa,18.520978,73.874081,Central Building,Dhole Patil
32,Garden,Shahu Modak,18.533613,73.896112,Koregaon Park,Dhole Patil
33,Garden,Dr. GaddaSingh Cheema,18.544751,73.883656,Deccan College,Sangamwadi
